run_accession	fastq_ftp	fastq_bytes	read_count
ERR2000688	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000688/ERR2000688.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000688/ERR2000688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000688/ERR2000688_2.fastq.gz	5350914627;918205940;945869737	150844585
ERR2000692	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000692/ERR2000692.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000692/ERR2000692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000692/ERR2000692_2.fastq.gz	5796415323;1052852898;1102438266	188621491
ERR2000693	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000693/ERR2000693.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000693/ERR2000693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000693/ERR2000693_2.fastq.gz	5936893118;1097209234;1148374799	191411639
ERR2000697	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000697/ERR2000697.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000697/ERR2000697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000697/ERR2000697_2.fastq.gz	5799065844;1036418534;1087237364	187682271
ERR2000699	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000699/ERR2000699.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000699/ERR2000699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000699/ERR2000699_2.fastq.gz	6960409994;1248258421;1282719079	188708209
ERR2000700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000700/ERR2000700.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000700/ERR2000700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000700/ERR2000700_2.fastq.gz	6986595168;1227961701;1257201134	189492115
ERR2000701	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000701/ERR2000701.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000701/ERR2000701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000701/ERR2000701_2.fastq.gz	7164218612;1259647471;1296908813	192698926
ERR2000703	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000703/ERR2000703.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000703/ERR2000703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000703/ERR2000703_2.fastq.gz	7098740573;1256264065;1284304632	192274354
ERR2000705	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000705/ERR2000705.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000705/ERR2000705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000705/ERR2000705_2.fastq.gz	6979100708;1236893912;1262004268	188628217
ERR2000708	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000708/ERR2000708.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000708/ERR2000708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000708/ERR2000708_2.fastq.gz	5598374808;941319312;988893476	183047455
